Thu Aug 17 22:14:19 IST 2017,bharti_wifi,10.194.12.0/24,6
Thu Aug 17 22:45:44 IST 2017,bharti_wifi,10.194.12.0/24,8
Thu Aug 17 23:16:28 IST 2017,bharti_wifi,10.194.12.0/24,6
Thu Aug 17 23:47:09 IST 2017,bharti_wifi,10.194.12.0/24,5
Fri Aug 18 00:17:48 IST 2017,bharti_wifi,10.194.12.0/24,8
Fri Aug 18 00:48:30 IST 2017,bharti_wifi,10.194.12.0/24,4
Fri Aug 18 01:19:10 IST 2017,bharti_wifi,10.194.12.0/24,5
Fri Aug 18 01:50:08 IST 2017,bharti_wifi,10.194.12.0/24,2
Fri Aug 18 02:20:43 IST 2017,bharti_wifi,10.194.12.0/24,3
Fri Aug 18 02:51:08 IST 2017,bharti_wifi,10.194.12.0/24,2
Fri Aug 18 03:21:51 IST 2017,bharti_wifi,10.194.12.0/24,1
Fri Aug 18 03:52:30 IST 2017,bharti_wifi,10.194.12.0/24,1
Fri Aug 18 04:23:03 IST 2017,bharti_wifi,10.194.12.0/24,1
Fri Aug 18 04:53:39 IST 2017,bharti_wifi,10.194.12.0/24,1
Fri Aug 18 05:24:16 IST 2017,bharti_wifi,10.194.12.0/24,2
Fri Aug 18 05:54:51 IST 2017,bharti_wifi,10.194.12.0/24,3
Fri Aug 18 06:25:25 IST 2017,bharti_wifi,10.194.12.0/24,1
Fri Aug 18 06:55:54 IST 2017,bharti_wifi,10.194.12.0/24,1
Fri Aug 18 07:26:46 IST 2017,bharti_wifi,10.194.12.0/24,1
Fri Aug 18 07:57:59 IST 2017,bharti_wifi,10.194.12.0/24,8
Fri Aug 18 08:28:42 IST 2017,bharti_wifi,10.194.12.0/24,16
Fri Aug 18 08:59:09 IST 2017,bharti_wifi,10.194.12.0/24,27
Fri Aug 18 09:30:10 IST 2017,bharti_wifi,10.194.12.0/24,27
Fri Aug 18 10:00:36 IST 2017,bharti_wifi,10.194.12.0/24,26
Fri Aug 18 10:31:04 IST 2017,bharti_wifi,10.194.12.0/24,25
Fri Aug 18 11:01:39 IST 2017,bharti_wifi,10.194.12.0/24,22
Fri Aug 18 11:32:38 IST 2017,bharti_wifi,10.194.12.0/24,30
Fri Aug 18 12:03:32 IST 2017,bharti_wifi,10.194.12.0/24,14
Fri Aug 18 12:34:01 IST 2017,bharti_wifi,10.194.12.0/24,18
Fri Aug 18 13:04:47 IST 2017,bharti_wifi,10.194.12.0/24,19
Fri Aug 18 13:35:17 IST 2017,bharti_wifi,10.194.12.0/24,14
Fri Aug 18 14:06:00 IST 2017,bharti_wifi,10.194.12.0/24,22
Fri Aug 18 14:36:38 IST 2017,bharti_wifi,10.194.12.0/24,15
Fri Aug 18 15:08:10 IST 2017,bharti_wifi,10.194.12.0/24,19
Fri Aug 18 15:38:50 IST 2017,bharti_wifi,10.194.12.0/24,23
Fri Aug 18 16:09:16 IST 2017,bharti_wifi,10.194.12.0/24,14
Fri Aug 18 16:39:58 IST 2017,bharti_wifi,10.194.12.0/24,16
Fri Aug 18 17:10:32 IST 2017,bharti_wifi,10.194.12.0/24,25
Fri Aug 18 17:41:30 IST 2017,bharti_wifi,10.194.12.0/24,19
Fri Aug 18 18:12:08 IST 2017,bharti_wifi,10.194.12.0/24,15
Fri Aug 18 18:42:45 IST 2017,bharti_wifi,10.194.12.0/24,13
Fri Aug 18 19:13:47 IST 2017,bharti_wifi,10.194.12.0/24,11
Fri Aug 18 19:44:22 IST 2017,bharti_wifi,10.194.12.0/24,10
Fri Aug 18 20:15:31 IST 2017,bharti_wifi,10.194.12.0/24,7
Fri Aug 18 20:46:04 IST 2017,bharti_wifi,10.194.12.0/24,5
